_class,_id,endTime,eventType,processDefinitionId,processDefinitionKey,processInstanceId,startTime,startUser,state,timestamp
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61debd5962eb890ebe57a761,,migrate,process_metrics:18:f2f28de7-739b-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T11:36:57.533Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61debd5962eb890ebe57a765,,migrate,process_metrics:18:f2f28de7-739b-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T11:36:57.547Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61debd5962eb890ebe57a769,,migrate,process_metrics:18:f2f28de7-739b-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T11:36:57.561Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dec9d262eb890ebe57a87c,,migrate,process_metrics:19:620aef46-73a3-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:30:10.394Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dec9d262eb890ebe57a880,,migrate,process_metrics:19:620aef46-73a3-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:30:10.406Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dec9d262eb890ebe57a884,,migrate,process_metrics:19:620aef46-73a3-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:30:10.421Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61decbe662eb890ebe57a88f,,migrate,process_metrics:20:9f0d1c23-73a4-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:39:02.267Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61decbe662eb890ebe57a893,,migrate,process_metrics:20:9f0d1c23-73a4-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:39:02.283Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61decbe662eb890ebe57a897,,migrate,process_metrics:20:9f0d1c23-73a4-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T12:39:02.299Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61ded2f062eb890ebe57a9d9,,start,process_metrics:20:9f0d1c23-73a4-11ec-abbe-0242ac12000e,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,2022-01-12T13:09:04.768Z,,ACTIVE,2022-01-12T13:09:04.768Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dedf0b62eb890ebe57aa7c,,migrate,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T14:00:43.069Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dedf0b62eb890ebe57aa80,,migrate,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T14:00:43.082Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dedf0b62eb890ebe57aa84,,migrate,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T14:00:43.094Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61dedf0b62eb890ebe57aa88,,migrate,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-12T14:00:43.107Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e00c0a62eb890ebe57ad9f,,start,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,7091cb3a-7463-11ec-abbe-0242ac12000e,2022-01-13T11:24:58.084Z,,ACTIVE,2022-01-13T11:24:58.084Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e00d8362eb890ebe57adcd,2022-01-13T11:31:15.847Z,end,process_metrics:21:082bcffb-73b0-11ec-abbe-0242ac12000e,process_metrics,7091cb3a-7463-11ec-abbe-0242ac12000e,,,COMPLETED,2022-01-13T11:31:15.847Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c56262eb890ebe57baf8,,migrate,process_metrics:22:079c424f-78fe-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:01:38.694Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c56262eb890ebe57bafc,,migrate,process_metrics:22:079c424f-78fe-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:01:38.706Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c56262eb890ebe57bb00,,migrate,process_metrics:22:079c424f-78fe-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:01:38.717Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c56262eb890ebe57bb04,,migrate,process_metrics:22:079c424f-78fe-11ec-abbe-0242ac12000e,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:01:38.727Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c59f62eb890ebe57bb0f,,migrate,process_metrics:23:2bb0dcb0-78fe-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:02:39.215Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c59f62eb890ebe57bb13,,migrate,process_metrics:23:2bb0dcb0-78fe-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:02:39.225Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c59f62eb890ebe57bb17,,migrate,process_metrics:23:2bb0dcb0-78fe-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:02:39.236Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c59f62eb890ebe57bb1b,,migrate,process_metrics:23:2bb0dcb0-78fe-11ec-abbe-0242ac12000e,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:02:39.246Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c61362eb890ebe57bb26,,migrate,process_metrics:24:71043511-78fe-11ec-abbe-0242ac12000e,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:04:35.537Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c61362eb890ebe57bb2a,,migrate,process_metrics:24:71043511-78fe-11ec-abbe-0242ac12000e,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:04:35.549Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c61362eb890ebe57bb2e,,migrate,process_metrics:24:71043511-78fe-11ec-abbe-0242ac12000e,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:04:35.565Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61e7c61362eb890ebe57bb32,,migrate,process_metrics:24:71043511-78fe-11ec-abbe-0242ac12000e,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-19T08:04:35.586Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee2c279cbf054ffa83b6c,,migrate,process_metrics:25:a745bab3-7d3b-11ec-baa0-0242c0a88004,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:32:50.543Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee2c279cbf054ffa83b70,,migrate,process_metrics:25:a745bab3-7d3b-11ec-baa0-0242c0a88004,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:32:50.671Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee2c279cbf054ffa83b74,,migrate,process_metrics:25:a745bab3-7d3b-11ec-baa0-0242c0a88004,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:32:50.908Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee2c279cbf054ffa83b78,,migrate,process_metrics:25:a745bab3-7d3b-11ec-baa0-0242c0a88004,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:32:50.925Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee3da79cbf054ffa83b83,,migrate,process_metrics:26:4e4c84d0-7d3c-11ec-baa0-0242c0a88004,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:37:30.747Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee3da79cbf054ffa83b87,,migrate,process_metrics:26:4e4c84d0-7d3c-11ec-baa0-0242c0a88004,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:37:30.763Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee3da79cbf054ffa83b8b,,migrate,process_metrics:26:4e4c84d0-7d3c-11ec-baa0-0242c0a88004,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:37:30.779Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee3da79cbf054ffa83b8f,,migrate,process_metrics:26:4e4c84d0-7d3c-11ec-baa0-0242c0a88004,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:37:30.795Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee54f79cbf054ffa83b9a,,migrate,process_metrics:27:2cc1ad41-7d3d-11ec-baa0-0242c0a88004,process_metrics,1134bf9b-72d6-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:43:43.966Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee54f79cbf054ffa83b9e,,migrate,process_metrics:27:2cc1ad41-7d3d-11ec-baa0-0242c0a88004,process_metrics,d677c420-7300-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:43:43.982Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee54f79cbf054ffa83ba2,,migrate,process_metrics:27:2cc1ad41-7d3d-11ec-baa0-0242c0a88004,process_metrics,dd244eee-72d4-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:43:43.996Z
com.snp.ecm.ecm.camunda.service.history.domain.ProcessHistoryEventEntity,61eee55079cbf054ffa83ba6,,migrate,process_metrics:27:2cc1ad41-7d3d-11ec-baa0-0242c0a88004,process_metrics,d178610d-73a8-11ec-abbe-0242ac12000e,,,ACTIVE,2022-01-24T17:43:44.012Z
